Set	Location	Buoy/tag	tag	Date	startTime	stopTime	Latitude	Longitude
1	reef	Orange12/tagID43	43	2009June01	13:57:27	18:52:15	29.46278333	83.62443333
1	1	"GPS/ID44,ID45"	44	2009June01	14:03:26	15:14:50	29.46305317	83.62443333
1	1	"GPS/ID44,ID45"	45	2009June01	14:03:26	15:14:50	29.46305317	83.62443333
1	2	O26/46	46	2009June01	14:06:03	15:22:29	29.46297413	83.62462413
1	3	Yellow4/48	48	2009June01	14:15:26	15:29:30	29.46278333	83.62470317
1	4	O5/47	47	2009June01	14:10:58	15:25:10	29.46259253	83.62462413
1	5	O6/49	49	2009June01	14:19:43	15:33:00	29.4625135	83.62443333
1	6	Y8/50	50	2009June01	14:23:23	15:35:10	29.46259253	83.62424253
1	7	O24/51	51	2009June01	14:25:27	15:38:50	29.46278333	83.6241635
1	8	Y11/52	52	2009June01	14:27:50	15:42:20	29.46297413	83.62424253
2	9	GPS	44	2009June01	15:18:14	16:10:43	29.46323305	83.62443333
2	9	GPS	45	2009June01	15:18:14	16:10:43	29.46323305	83.62443333
2	10	O26	46	2009June01	15:24:00	16:14:15	29.4631728	83.62465819
2	11	O5	47	2009June01	15:27:40	16:18:56	29.46300819	83.6248228
2	12	Y4	48	2009June01	15:32:20	16:23:30	29.46278333	83.62488305
2	13	O6	49	2009June01	15:34:25	16:26:30	29.46255847	83.6248228
2	14	Y8	50	2009June01	15:37:43	16:29:45	29.46239386	83.62465819
2	15	O24	51	2009June01	15:41:00	16:32:50	29.46233361	83.62443333
2	16	Y11	52	2009June01	15:45:30	16:36:00	29.46239386	83.62420847
3	17	GPS	44	2009June01	16:12:45	17:11:00	29.46255847	83.62404386
3	17	GPS	45	2009June01	16:12:45	17:11:00	29.46255847	83.62404386
3	18	O26	46	2009June01	16:16:59	17:14:40	29.46278333	83.62398361
3	19	O5	47	2009June01	16:22:30	17:18:30	29.46300819	83.62404386
3	20	Y4	48	2009June01	16:25:00	17:22:21	29.4631728	83.62420847
3	21	O6	49	2009June01	16:28:20	17:25:52	29.46341294	83.62443333
3	22	Y8	50	2009June01	16:31:50	17:29:02	29.46332859	83.62474814
3	23	O24	51	2009June01	16:35:30	17:32:10	29.46309814	83.62497859
3	24	Y11	52	2009June01	16:42:47	17:35:10	29.46278333	83.62506294
4	25	GPS	44	2009June01	17:14:05	17:51:29	29.46246853	83.62497859
4	25	GPS	45	2009June01	17:14:05	17:51:29	29.46246853	83.62497859
4	26	O26	46	2009June01	17:17:42	17:55:02	29.46223808	83.62474814
4	27	O5	47	2009June01	17:21:34	17:57:22	29.46215372	83.62443333
4	28	Y4	48	2009June01	17:24:42	18:00:49	29.46223808	83.62411853
4	29	O6	49	2009June01	17:28:08	18:02:56	29.46246853	83.62388808
4	30	Y8	50	2009June01	17:31:03	18:05:36	29.46278333	83.62380372
4	31	O24	51	2009June01	17:34:10	18:07:52	29.46309814	83.62388808
4	32	Y11	52	2009June01	17:36:25	18:10:44	29.46332859	83.62411853
5	33	GPS	44	2009June01	17:54:11	18:46:20	29.46287562	83.62417977
5	33	GPS	45	2009June01	17:54:11	18:46:20	29.46287562	83.62417977
5	34	O26	46	2009June01	17:56:36	18:47:16	29.46294629	83.62382518
5	35	O5	47	2009June01	17:59:32	18:48:48	29.46316493	83.62405173
5	36	Y4	48	2009June01	18:02:17	18:50:10	29.46339149	83.62427038
5	37	O6	49	2009June01	18:05:00	18:50:54	29.46304397	83.6243635
5	38	Y8	50	2009June01	18:06:28	18:48:09	29.46278333	83.62362384
5	39	O24	51	2009June01	18:09:31	18:51:25	29.46278333	83.62429842
5	40	Y11	52	2009June01	18:11:27	18:53:18	29.46350015	83.62437062
6	reef	O6	49	2009June03	9:28:07	13:40:00	29.46278333	83.62443333
6	41	O24	51	2009June03	9:29:39	13:40:00	29.462119	83.62431619
6	42	O5	47	2009June03	9:31:06	13:40:00	29.46231597	83.6241635
6	43	Y11	52	2009June03	9:32:03	13:40:00	29.4625135	83.62396597
6	44	O12	43	2009June03	9:33:06	13:40:00	29.46266619	83.623769
6	45	Y4	48	2009June03	9:34:20	13:40:00	29.46290047	83.623769
6	46	Y8	50	2009June03	9:34:52	13:40:00	29.46305317	83.62396597
6	47	O26	46	2009June03	9:35:44	13:40:00	29.4632507	83.6241635
6	48	GPS	44	2009June03	9:36:59	13:40:00	29.46344767	83.62431619
6	48	GPS	45	2009June03	9:36:59	13:40:00	29.46344767	83.62431619
