month,day,doy,lunarIndex
January,1,1,6
January,2,2,7
January,3,3,8
January,4,4,9
January,5,5,10
January,6,6,11
January,7,7,12
January,8,8,13
January,9,9,14
January,10,10,15
January,11,11,16
January,12,12,17
January,13,13,18
January,14,14,19
January,15,15,20
January,16,16,21
January,17,17,22
January,18,18,23
January,19,19,24
January,20,20,25
January,21,21,26
January,22,22,27
January,23,23,28
January,24,24,29
January,25,25,30
January,26,26,1
January,27,27,2
January,28,28,3
January,29,29,4
January,30,30,5
January,31,31,6
February,1,32,7
February,2,33,8
February,3,34,9
February,4,35,10
February,5,36,11
February,6,37,12
February,7,38,13
February,8,39,14
February,9,40,15
February,10,41,16
February,11,42,17
February,12,43,18
February,13,44,19
February,14,45,20
February,15,46,21
February,16,47,22
February,17,48,23
February,18,49,24
February,19,50,25
February,20,51,26
February,21,52,27
February,22,53,28
February,23,54,29
February,24,55,30
February,25,56,1
February,26,57,2
February,27,58,3
February,28,59,4
March,1,60,5
March,2,61,6
March,3,62,7
March,4,63,8
March,5,64,9
March,6,65,10
March,7,66,11
March,8,67,12
March,9,68,13
March,10,69,14
March,11,70,15
March,12,71,16
March,13,72,17
March,14,73,18
March,15,74,19
March,16,75,20
March,17,76,21
March,18,77,22
March,19,78,23
March,20,79,24
March,21,80,25
March,22,81,26
March,23,82,27
March,24,83,28
March,25,84,29
March,26,85,1
March,27,86,2
March,28,87,3
March,29,88,4
March,30,89,5
March,31,90,6
April,1,91,7
April,2,92,8
April,3,93,9
April,4,94,10
April,5,95,11
April,6,96,12
April,7,97,13
April,8,98,14
April,9,99,15
April,10,100,16
April,11,101,17
April,12,102,18
April,13,103,19
April,14,104,20
April,15,105,21
April,16,106,22
April,17,107,23
April,18,108,24
April,19,109,25
April,20,110,26
April,21,111,27
April,22,112,28
April,23,113,29
April,24,114,30
April,25,115,1
April,26,116,2
April,27,117,3
April,28,118,4
April,29,119,5
April,30,120,6
May,1,121,7
May,2,122,8
May,3,123,9
May,4,124,10
May,5,125,11
May,6,126,12
May,7,127,13
May,8,128,14
May,9,129,15
May,10,130,16
May,11,131,17
May,12,132,18
May,13,133,19
May,14,134,20
May,15,135,21
May,16,136,22
May,17,137,23
May,18,138,24
May,19,139,25
May,20,140,26
May,21,141,27
May,22,142,28
May,23,143,29
May,24,144,1
May,25,145,2
May,26,146,3
May,27,147,4
May,28,148,5
May,29,149,6
May,30,150,7
May,31,151,8
June,1,152,9
June,2,153,10
June,3,154,11
June,4,155,12
June,5,156,13
June,6,157,14
June,7,158,15
June,8,159,16
June,9,160,17
June,10,161,18
June,11,162,19
June,12,163,20
June,13,164,21
June,14,165,22
June,15,166,23
June,16,167,24
June,17,168,25
June,18,169,26
June,19,170,27
June,20,171,28
June,21,172,29
June,22,173,1
June,23,174,2
June,24,175,3
June,25,176,4
June,26,177,5
June,27,178,6
June,28,179,7
June,29,180,8
June,30,181,9
July,1,182,10
July,2,183,11
July,3,184,12
July,4,185,13
July,5,186,14
July,6,187,15
July,7,188,16
July,8,189,17
July,9,190,18
July,10,191,19
July,11,192,20
July,12,193,21
July,13,194,22
July,14,195,23
July,15,196,24
July,16,197,25
July,17,198,26
July,18,199,27
July,19,200,28
July,20,201,29
July,21,202,30
July,22,203,1
July,23,204,2
July,24,205,3
July,25,206,4
July,26,207,5
July,27,208,6
July,28,209,7
July,29,210,8
July,30,211,9
July,31,212,10
August,1,213,11
August,2,214,12
